Designator,Mid X,Mid Y,Rotation,Layer
C1,39.90771,-75.085032,270.0,bottom
C2,19.92146,-79.723782,180.0,bottom
C3,34.80771,-88.075032,180.0,bottom
C4,25.87146,-69.915032,0.0,bottom
C5,43.70771,-76.035032,0.0,bottom
C6,43.70771,-81.635032,0.0,bottom
C7,30.86771,-68.635032,270.0,bottom
D1,19.68521,-50.958782,90.0,bottom
D10,173.67271,-50.958782,90.0,bottom
D11,192.72271,-50.958782,90.0,bottom
D12,211.77271,-50.958782,90.0,bottom
D13,230.82271,-50.958782,90.0,bottom
D14,249.87271,-50.958782,90.0,bottom
D15,286.38521,-50.958782,90.0,bottom
D16,289.56021,-50.958782,90.0,bottom
D17,8.57271,-70.802532,90.0,bottom
D18,70.48521,-70.008782,90.0,bottom
D19,67.31021,-70.008782,90.0,bottom
D2,22.86021,-50.958782,90.0,bottom
D20,86.36021,-70.008782,90.0,bottom
D21,89.53521,-70.008782,90.0,bottom
D22,106.99771,-70.008782,90.0,bottom
D23,126.04771,-70.008782,90.0,bottom
D24,145.09771,-70.008782,90.0,bottom
D25,164.14771,-70.008782,90.0,bottom
D26,183.19771,-70.008782,90.0,bottom
D27,202.24771,-70.008782,90.0,bottom
D28,221.29771,-70.008782,90.0,bottom
D29,240.34771,-70.008782,90.0,bottom
D3,40.32271,-50.958782,90.0,bottom
D30,264.16021,-70.008782,90.0,bottom
D31,287.97271,-70.008782,90.0,bottom
D32,26.82896,-89.058782,90.0,bottom
D33,53.02271,-89.058782,90.0,bottom
D34,56.19771,-89.058782,90.0,bottom
D35,73.66021,-89.058782,90.0,bottom
D36,92.71021,-89.058782,90.0,bottom
D37,111.76021,-89.058782,90.0,bottom
D38,130.81021,-89.058782,90.0,bottom
D39,149.86021,-89.058782,90.0,bottom
D4,59.37271,-50.958782,90.0,bottom
D40,168.91021,-89.058782,90.0,bottom
D41,187.96021,-89.058782,90.0,bottom
D42,207.01021,-89.058782,90.0,bottom
D43,226.06021,-89.058782,90.0,bottom
D44,257.01646,-89.058782,90.0,bottom
D45,287.97271,-89.058782,90.0,bottom
D46,31.59146,-108.108782,90.0,bottom
D47,45.08521,-108.108782,90.0,bottom
D48,64.13521,-108.108782,90.0,bottom
D49,83.18521,-108.108782,90.0,bottom
D5,78.42271,-50.958782,90.0,bottom
D50,102.23521,-108.108782,90.0,bottom
D51,121.28521,-108.108782,90.0,bottom
D52,140.33521,-108.108782,90.0,bottom
D53,159.38521,-108.108782,90.0,bottom
D54,178.43521,-108.108782,90.0,bottom
D55,197.48521,-108.108782,90.0,bottom
D56,216.53521,-108.108782,90.0,bottom
D57,242.72896,-108.108782,90.0,bottom
D58,268.92271,-108.108782,90.0,bottom
D59,287.97271,-108.108782,90.0,bottom
D6,97.47271,-50.958782,90.0,bottom
D60,24.44771,-127.158782,90.0,bottom
D61,28.41646,-127.158782,90.0,bottom
D62,52.22896,-127.158782,90.0,bottom
D63,123.66646,-127.158782,90.0,bottom
D64,194.31021,-127.158782,90.0,bottom
D65,216.53521,-127.158782,90.0,bottom
D66,267.33521,-127.158782,90.0,bottom
D67,270.51021,-127.158782,90.0,bottom
D68,287.97271,-127.158782,90.0,bottom
D7,116.52271,-50.958782,90.0,bottom
D8,135.57271,-50.958782,90.0,bottom
D9,154.62271,-50.958782,90.0,bottom
F1,27.45771,-58.285032,180.0,bottom
J1,68.79771,-58.668782,270.0,bottom
J2,7.93771,-61.972533,180.0,bottom
MX1,11.74771,-50.165032,0.0,top
MX10,183.19771,-50.165032,0.0,top
MX11,202.24771,-50.165032,0.0,top
MX12,221.29771,-50.165032,0.0,top
MX13,240.34771,-50.165032,0.0,top
MX14,259.39771,-50.165032,0.0,top
MX15,278.44771,-50.165032,0.0,top
MX16,297.49771,-50.165032,0.0,top
MX17,268.92271,-50.165032,0.0,top
MX18,16.51021,-69.215032,0.0,top
MX19,40.32271,-69.215032,0.0,top
MX2,30.79771,-50.165032,0.0,top
MX20,59.37271,-69.215032,0.0,top
MX21,78.42271,-69.215032,0.0,top
MX22,97.47271,-69.215032,0.0,top
MX23,116.52271,-69.215032,0.0,top
MX24,135.57271,-69.215032,0.0,top
MX25,154.62271,-69.215032,0.0,top
MX26,173.67271,-69.215032,0.0,top
MX27,192.72271,-69.215032,0.0,top
MX28,211.77271,-69.215032,0.0,top
MX29,230.82271,-69.215032,0.0,top
MX3,49.84771,-50.165032,0.0,top
MX30,249.87271,-69.215032,0.0,top
MX31,273.68521,-69.215032,0.0,top
MX32,297.49771,-69.215032,0.0,top
MX33,14.12896,-88.265032,0.0,top
MX34,18.89146,-88.265032,0.0,top
MX35,45.08521,-88.265032,0.0,top
MX36,64.13521,-88.265032,0.0,top
MX37,83.18521,-88.265032,0.0,top
MX38,102.23521,-88.265032,0.0,top
MX39,121.28521,-88.265032,0.0,top
MX4,68.89771,-50.165032,0.0,top
MX40,140.33521,-88.265032,0.0,top
MX41,159.38521,-88.265032,0.0,top
