Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,0.1u,
C4,0805,1,10u,
"C5, C6",0805,2,22p,
C7,0805,1,1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",D_SOD-123,68,1N4148,
F1,1206,1,500mA,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST SH 4-pin,
J2,ISP,1,AVR-ISP-6,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX32, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX47, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX6, MX60, MX61, MX63, MX68, MX69, MX7, MX70, MX8, MX9",MXOnly-1U-NoLED,57,1u,
MX17,MXOnly-2U-NoLED,1,2u,
"MX18, MX31, MX62, MX64, MX67",MXOnly-1.5U-NoLED,5,1.5u,
"MX33, MX66, MX71, MX72, MX73, MX75",MXOnly-1.25U-NoLED,6,1.25u,
"MX34, MX59",MXOnly-1.75U-NoLED,2,1.75u,
"MX46, MX48",MXOnly-2.25U-NoLED,2,2.25u,
MX65,MXOnly-7U-ReversedStabilizers-NoLED,1,7u,
MX74,MXOnly-6.25U-ReversedStabilizers-NoLED,1,6.25u,
"R1, R4",0805,2,10k,
"R2, R3",0805,2,22,
SW1,SW_SPST_TL3342,1,Reset,
U1,SOT-23-6,1,SRV05-4,
U2,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-AU,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
