Designator,Mid X,Mid Y,Rotation,Layer
C1,163.255008,-140.915682,270.0,bottom
C2,143.268758,-145.554432,180.0,bottom
C3,160.525008,-148.315682,0.0,bottom
C4,146.375008,-135.185682,270.0,bottom
C5,167.055008,-141.865682,0.0,bottom
C6,167.055008,-147.465682,0.0,bottom
C7,154.135008,-134.485682,270.0,bottom
D1,2.206258,-70.771932,90.0,bottom
D10,173.675008,-70.771932,90.0,bottom
D11,192.725008,-70.771932,90.0,bottom
D12,211.775008,-70.771932,90.0,bottom
D13,230.825008,-70.771932,90.0,bottom
D14,259.400008,-70.771932,90.0,bottom
D15,287.975008,-70.771932,90.0,bottom
D16,6.987508,-89.821932,90.0,bottom
D17,30.800008,-89.821932,90.0,bottom
D18,49.850008,-89.821932,90.0,bottom
D19,68.900008,-89.821932,90.0,bottom
D2,21.275008,-70.771932,90.0,bottom
D20,87.950008,-89.821932,90.0,bottom
D21,107.000008,-89.821932,90.0,bottom
D22,126.050008,-89.821932,90.0,bottom
D23,145.100008,-89.821932,90.0,bottom
D24,164.150008,-89.821932,90.0,bottom
D25,183.200008,-89.821932,90.0,bottom
D26,202.250008,-89.821932,90.0,bottom
D27,221.300008,-89.821932,90.0,bottom
D28,240.350008,-89.821932,90.0,bottom
D29,264.162508,-89.821932,90.0,bottom
D3,40.325008,-70.771932,90.0,bottom
D30,287.975008,-89.821932,90.0,bottom
D31,9.368758,-108.871932,90.0,bottom
D32,35.562508,-108.871932,90.0,bottom
D33,54.612508,-108.871932,90.0,bottom
D34,73.662508,-108.871932,90.0,bottom
D35,92.712508,-108.871932,90.0,bottom
D36,111.762508,-108.871932,90.0,bottom
D37,130.812508,-108.871932,90.0,bottom
D38,149.862508,-108.871932,90.0,bottom
D39,168.912508,-108.871932,90.0,bottom
D4,59.375008,-70.771932,90.0,bottom
D40,187.962508,-108.871932,90.0,bottom
D41,207.012508,-108.871932,90.0,bottom
D42,226.062508,-108.871932,90.0,bottom
D43,257.018758,-108.871932,90.0,bottom
D44,287.975008,-108.871932,90.0,bottom
D45,14.131258,-127.921932,90.0,bottom
D46,45.087508,-127.921932,90.0,bottom
D47,64.137508,-127.921932,90.0,bottom
D48,83.187508,-127.921932,90.0,bottom
D49,102.237508,-127.921932,90.0,bottom
D5,78.425008,-70.771932,90.0,bottom
D50,121.287508,-127.921932,90.0,bottom
D51,140.337508,-127.921932,90.0,bottom
D52,159.387508,-127.921932,90.0,bottom
D53,178.425008,-127.921932,90.0,bottom
D54,197.487508,-127.921932,90.0,bottom
D55,216.537508,-127.921932,90.0,bottom
D56,242.731258,-127.921932,90.0,bottom
D57,268.925008,-127.921932,90.0,bottom
D58,287.975008,-127.921932,90.0,bottom
D59,4.606258,-146.971932,90.0,bottom
D6,97.475008,-70.771932,90.0,bottom
D60,28.418758,-146.971932,90.0,bottom
D61,52.206258,-146.971932,90.0,bottom
D62,123.668758,-146.971932,90.0,bottom
D63,195.025008,-146.971932,90.0,bottom
D64,218.837508,-146.971932,90.0,bottom
D65,249.875008,-146.971932,90.0,bottom
D66,268.925008,-146.971932,90.0,bottom
D67,287.975008,-146.971932,90.0,bottom
D7,116.525008,-70.771932,90.0,bottom
D8,135.575008,-70.771932,90.0,bottom
D9,154.625008,-70.771932,90.0,bottom
F1,25.215008,-73.955682,180.0,bottom
J1,66.575008,-76.369432,270.0,bottom
J2,167.925008,-131.715682,270.0,top
MX1,9.525008,-67.865682,0.0,top
MX10,180.975008,-67.865682,0.0,top
MX11,200.025008,-67.865682,0.0,top
MX12,219.075008,-67.865682,0.0,top
MX13,238.125008,-67.865682,0.0,top
MX14,266.700008,-67.865682,0.0,top
MX15,295.275008,-67.865682,0.0,top
MX16,14.287508,-86.915682,0.0,top
MX17,38.100008,-86.915682,0.0,top
MX18,57.150008,-86.915682,0.0,top
MX19,76.200008,-86.915682,0.0,top
MX2,28.575008,-67.865682,0.0,top
MX20,95.250008,-86.915682,0.0,top
MX21,114.300008,-86.915682,0.0,top
MX22,133.350008,-86.915682,0.0,top
MX23,152.400008,-86.915682,0.0,top
MX24,171.450008,-86.915682,0.0,top
MX25,190.500008,-86.915682,0.0,top
MX26,209.550008,-86.915682,0.0,top
MX27,228.600008,-86.915682,0.0,top
MX28,247.650008,-86.915682,0.0,top
MX29,271.462508,-86.915682,0.0,top
MX3,47.625008,-67.865682,0.0,top
MX30,295.275008,-86.915682,0.0,top
MX31,16.668758,-105.965682,0.0,top
MX32,42.862508,-105.965682,0.0,top
MX33,61.912508,-105.965682,0.0,top
MX34,80.962508,-105.965682,0.0,top
MX35,100.012508,-105.965682,0.0,top
MX36,119.062508,-105.965682,0.0,top
MX37,138.112508,-105.965682,0.0,top
MX38,157.162508,-105.965682,0.0,top
MX39,176.212508,-105.965682,0.0,top
MX4,66.675008,-67.865682,0.0,top
MX40,195.262508,-105.965682,0.0,top
MX41,214.312508,-105.965682,0.0,top
MX42,233.362508,-105.965682,0.0,top
MX43,264.318758,-105.965682,0.0,top
MX44,295.275008,-105.965682,0.0,top
MX45,21.431258,-125.015682,0.0,top
MX46,52.387508,-125.015682,0.0,top
MX47,71.437508,-125.015682,0.0,top
MX48,90.487508,-125.015682,0.0,top
MX49,109.537508,-125.015682,0.0,top
MX5,85.725008,-67.865682,0.0,top
MX50,128.587508,-125.015682,0.0,top
MX51,147.637508,-125.015682,0.0,top
MX52,166.687508,-125.015682,0.0,top
MX53,185.737508,-125.015682,0.0,top
MX54,204.787508,-125.015682,0.0,top
MX55,223.837508,-125.015682,0.0,top
MX56,250.031258,-125.015682,0.0,top
MX57,276.225008,-125.015682,0.0,top
MX58,295.275008,-125.015682,0.0,top
MX59,11.906258,-144.065682,0.0,top
MX6,104.775008,-67.865682,0.0,top
MX60,35.718758,-144.065682,0.0,top
MX61,59.531258,-144.065682,0.0,top
MX62,130.968758,-144.065682,0.0,top
MX63,202.406258,-144.065682,0.0,top
MX64,226.218758,-144.065682,0.0,top
MX65,257.175008,-144.065682,0.0,top
MX66,276.275008,-144.065682,0.0,top
MX67,295.275008,-144.065682,0.0,top
MX7,123.825008,-67.865682,0.0,top
MX8,142.875008,-67.865682,0.0,top
MX9,161.925008,-67.865682,0.0,top
R1,175.805008,-141.515682,270.0,bottom
R2,32.865008,-77.619432,180.0,bottom
R3,32.865008,-75.119432,180.0,bottom
R4,143.268758,-147.945682,180.0,bottom
SW1,181.338758,-142.480682,180.0,bottom
U1,38.748758,-76.369432,90.0,bottom
U2,154.598758,-144.675682,270.0,bottom
Y1,167.055008,-144.665682,0.0,bottom
